Color,Satisfaction,Children,Temperature
Yellow,High,0,27.0
Purple,Medium,1,28.7
Green,Medium,3,25.2
Purple,Medium,2,32.8
Purple,High,3,29.0
Blue,Low,6,30.6
Green,Medium,2,28.2
Green,Low,4,29.0
Green,Medium,3,33.7
Green,Medium,2,32.3
Purple,High,2,32.4
Blue,High,2,28.8
Yellow,Low,1,25.6
Blue,Medium,3,27.3
Yellow,Medium,2,26.0
Purple,Medium,2,33.5
Red,Medium,0,34.0
Yellow,Medium,2,34.8
Blue,Medium,1,23.9
Purple,High,1,33.2
Yellow,Low,0,36.6
Red,High,3,33.3
Red,Medium,1,23.5
Green,Medium,1,35.3
Green,Medium,4,30.1
Blue,Medium,3,29.3
Yellow,Medium,1,31.4
Yellow,Low,3,26.9
Green,Low,2,30.0
Yellow,Medium,0,34.9
Yellow,Low,1,31.9
Red,Low,2,30.2
Green,Medium,1,30.3
Purple,Low,2,26.5
Green,High,3,29.6
Purple,Low,3,25.1
Red,Medium,3,33.1
Blue,Medium,3,23.4
Yellow,Medium,1,32.6
Red,Medium,2,32.9
Yellow,Low,1,34.0
Blue,High,1,30.3
Blue,High,0,32.7
Red,High,5,29.5
Blue,Medium,5,26.4
Purple,Low,2,34.6
Blue,Medium,3,29.7
Yellow,Medium,3,25.8
Yellow,Medium,3,28.6
Yellow,High,2,28.7
Yellow,Medium,1,31.4
Purple,High,1,37.0
Green,Medium,1,31.6
Red,High,0,30.6
Yellow,Low,3,37.4
Blue,Medium,5,32.9
Yellow,Medium,3,30.8
Blue,Low,5,28.6
Blue,Low,3,30.9
Yellow,High,3,29.8
Purple,High,3,30.3
Blue,Low,2,33.9
Blue,Medium,1,28.4
Yellow,Medium,1,31.5
Blue,High,2,32.8
Blue,Medium,1,28.0
Yellow,Low,6,27.5
Yellow,Low,1,29.5
Red,Medium,2,28.6
Purple,Medium,1,33.5
Purple,Low,2,27.0
Blue,High,3,30.2
Purple,Medium,2,37.6
Blue,Medium,4,31.2
Red,Low,2,31.7
Yellow,Low,1,33.5
Yellow,High,2,28.6
Yellow,Medium,0,26.8
Purple,Medium,2,30.5
Red,Medium,0,30.8
Purple,Medium,2,25.1
Purple,High,3,31.1
Red,Low,0,33.2
Red,Medium,0,27.3
Red,Low,2,31.3
Red,Low,1,32.7
Yellow,Medium,2,31.8
Green,Low,1,32.0
Green,Low,3,29.3
Red,Medium,2,26.6
Green,High,4,28.7
Green,Low,2,28.2
Red,Low,2,29.8
Green,High,1,33.3
Purple,High,2,26.1
Blue,Medium,1,30.4
Blue,Medium,3,26.8
Red,Medium,2,27.8
Yellow,Low,1,31.7
Red,High,3,26.4
Yellow,High,2,32.2
Blue,Medium,3,25.9
Red,Low,3,32.0
Purple,High,1,25.4
Green,Medium,1,28.1
Yellow,Medium,3,35.7
Green,Medium,5,35.1
Green,Medium,1,28.8
Red,High,2,31.2
Green,High,6,33.6
Green,Medium,1,29.2
Red,High,0,27.8
Purple,Medium,3,32.6
Blue,Medium,5,33.4
Green,Low,2,35.1
Red,High,3,24.9
Blue,High,4,26.2
Blue,Medium,3,33.5
Yellow,High,3,25.3
Purple,Medium,1,33.7
Green,Medium,2,29.4
Red,Medium,6,28.4
Yellow,Medium,0,30.6
Purple,Medium,3,26.0
Yellow,Low,1,32.5
Purple,Medium,2,35.1
Purple,Medium,4,32.6
Green,Medium,2,29.3
Purple,Medium,2,25.4
Yellow,Medium,1,25.5
Purple,Medium,6,26.0
Green,Medium,1,30.0
Green,Medium,1,30.3
Yellow,Medium,1,32.6
Blue,Medium,3,24.6
Blue,High,2,33.9
Purple,Low,2,32.1
Red,Medium,2,29.0
Purple,High,0,26.4
Yellow,Medium,0,33.7
Yellow,Medium,1,29.1
Yellow,Medium,0,29.9
Yellow,Medium,4,31.2
Yellow,High,1,27.3
Blue,Medium,1,32.6
Yellow,Medium,1,32.3
Red,High,4,32.3
Red,Medium,0,26.5
Red,Medium,2,29.3
Red,Medium,3,28.8
Green,High,3,31.3
Red,Medium,2,31.0
Yellow,Medium,3,30.5
Purple,Medium,4,37.4
Red,Medium,3,29.1
Green,Medium,2,28.8
Green,Medium,1,26.5
Red,Low,1,25.4
Purple,Low,0,26.3
Red,High,0,27.8
Green,High,0,33.9
Blue,Medium,0,30.1
Yellow,High,2,30.6
Green,Medium,1,29.7
Red,Medium,2,31.1
Yellow,Medium,0,34.2
Red,Low,2,24.0
Blue,Medium,1,22.5
Yellow,Medium,1,36.6
Blue,High,3,32.0
Green,High,6,31.1
Red,Low,2,36.0
Purple,High,1,27.9
Red,High,0,31.3
Red,High,1,31.7
Green,Low,4,28.4
Blue,Medium,4,28.4
Blue,High,2,30.3
Yellow,High,4,31.6
Purple,Medium,1,30.4
Red,High,1,32.1
Red,High,3,24.1
Green,High,1,29.3
Blue,Medium,1,26.9
Purple,Medium,2,30.9
Yellow,Medium,2,30.9
Blue,High,5,29.7
Yellow,Low,4,31.5
Green,Medium,1,33.0
Green,Medium,1,29.8
Red,Medium,1,26.8
Purple,High,1,25.3
Yellow,High,4,30.1
Blue,Medium,3,30.7
Green,High,2,27.1
Red,Medium,1,32.2
Red,Medium,2,28.6
Yellow,High,1,25.0
Green,Medium,1,33.8
Purple,Medium,1,33.4
Green,High,3,24.0
Yellow,Medium,2,28.3
Yellow,Medium,2,28.2
Green,Medium,3,34.9
Yellow,Medium,0,29.7
Blue,Medium,1,32.6
Green,High,3,26.3
Green,High,0,29.2
Yellow,High,1,27.7
Yellow,High,1,28.3
Red,Medium,3,32.8
Red,Medium,3,34.6
Blue,Medium,2,26.2
Red,Medium,6,31.9
Green,Low,3,27.8
Yellow,Medium,4,27.9
Red,Medium,1,31.5
Red,High,0,26.9
Blue,High,1,31.4
Blue,Medium,1,32.2
Green,Medium,4,28.7
Yellow,Low,1,34.0
Blue,High,2,26.2
Red,High,1,34.0
Yellow,Medium,1,24.2
Yellow,Medium,2,38.1
Red,Low,2,28.8
Blue,Low,4,26.5
Red,Medium,5,29.3
Yellow,Medium,0,26.9
Purple,High,1,31.2
Purple,Medium,1,34.1
Green,Medium,3,27.0
Red,High,2,31.7
Red,High,2,25.4
Green,High,3,33.1
Green,Low,0,31.2
Green,Medium,2,33.2
Yellow,Low,4,29.6
Red,Medium,5,28.7
Yellow,Low,4,32.4
Green,Medium,0,26.1
Red,Medium,1,24.8
Yellow,Medium,3,30.0
Yellow,Medium,2,28.8
Green,Medium,3,31.7
Red,Medium,1,33.3
Green,Medium,2,31.6
Red,Low,1,33.0
Purple,Medium,1,31.0
Blue,Medium,1,31.5
Blue,Medium,3,29.7
Blue,Medium,5,31.4
Green,Low,2,30.5
Purple,Low,3,31.0
Red,High,3,29.5
Yellow,Medium,3,32.4
Red,Medium,3,27.9
Yellow,High,2,29.9
Red,Low,0,33.9
Purple,High,1,27.2
Yellow,Medium,3,23.5
Red,Medium,2,29.2
Yellow,Medium,3,29.6
Green,High,2,28.2
Green,Medium,2,29.8
Purple,High,1,33.3
Green,Medium,3,31.7
Green,High,2,22.7
Green,Medium,3,30.6
Blue,Low,3,30.7
Purple,Low,1,29.9
Red,Low,1,28.2
Yellow,Low,2,33.6
Red,Low,0,33.7
Purple,Medium,0,23.4
Yellow,Medium,3,27.6
Green,High,3,32.8
Yellow,Medium,2,30.1
Green,High,0,27.9
Red,High,0,32.1
Red,Medium,1,29.4
Yellow,Medium,1,29.6
Yellow,Medium,2,29.9
Purple,Medium,2,31.7
Purple,Medium,3,29.1
Green,Medium,3,32.1
Yellow,High,0,29.8
Red,High,6,26.8
